Beat_timing,Generate_A_type,A_generate_side,A_generate_amount,Generate_B_type,B_generate_side,B_generate_amount
0,true,3,2,true,3,2
1,false,,,false,,
2,false,,,false,,
3,true,4,2,false,,
4,false,,,false,,
5,false,,,false,,
6,true,3,2,true,4,2
7,false,,,false,,
8,false,,,false,,
9,true,3,1,false,,
10,false,,,false,,
11,false,,,false,,
12,true,2,1,true,3,1
13,false,,,false,,
14,false,,,false,,
15,true,2,1,false,,
16,false,,,false,,
17,false,,,false,,
18,true,1,2,true,3,1
19,false,,,false,,
20,false,,,false,,
21,true,4,1,false,,
22,false,,,false,,
23,false,,,false,,
24,true,3,2,true,4,2
25,false,,,false,,
26,false,,,false,,
27,true,2,3,false,,
28,false,,,false,,
29,false,,,false,,
30,true,4,3,true,3,2
31,false,,,false,,
32,false,,,false,,
33,true,1,3,false,,
34,false,,,false,,
35,false,,,false,,
36,true,2,2,true,3,2
37,false,,,false,,
38,false,,,false,,
39,true,1,3,false,,
40,false,,,false,,
41,false,,,false,,
42,true,2,3,true,3,2
43,false,,,false,,
44,false,,,false,,
45,true,3,1,false,,
46,false,,,false,,
47,false,,,false,,
48,true,3,1,true,3,2
49,false,,,false,,
50,false,,,false,,
51,true,1,3,false,,
52,false,,,false,,
53,false,,,false,,
54,true,2,2,true,3,2
55,false,,,false,,
56,false,,,false,,
57,true,2,1,false,,
58,false,,,false,,
59,false,,,false,,
60,true,3,2,true,3,1
61,false,,,false,,
62,false,,,false,,
63,true,4,2,false,,
64,false,,,false,,
65,false,,,false,,
66,true,4,1,true,1,1
67,false,,,false,,
68,false,,,false,,
69,true,4,1,false,,
70,false,,,false,,
71,false,,,false,,
72,true,2,3,true,3,1
73,false,,,false,,
74,false,,,false,,
75,true,2,1,false,,
76,false,,,false,,
77,false,,,false,,
78,true,2,2,true,1,1
79,false,,,false,,
80,false,,,false,,
81,true,3,2,false,,
82,false,,,false,,
83,false,,,false,,
84,true,1,1,true,3,2
85,false,,,false,,
86,false,,,false,,
87,true,1,1,false,,
88,false,,,false,,
89,false,,,false,,
90,true,3,1,true,2,2
91,false,,,false,,
92,false,,,false,,
93,true,3,2,false,,
94,false,,,false,,
95,false,,,false,,
96,true,4,3,true,3,2
97,false,,,false,,
98,false,,,false,,
99,true,4,2,false,,
100,false,,,false,,
101,false,,,false,,
102,true,2,3,true,2,1
103,false,,,false,,
104,false,,,false,,
105,true,2,3,false,,
106,false,,,false,,
107,false,,,false,,
108,true,2,1,true,1,1
109,false,,,false,,
110,false,,,false,,
111,true,4,3,false,,
112,false,,,false,,
113,false,,,false,,
114,true,1,3,true,2,2
115,false,,,false,,
116,false,,,false,,
117,true,3,3,false,,
118,false,,,false,,
119,false,,,false,,
120,true,3,1,true,3,1
121,false,,,false,,
122,false,,,false,,
123,true,4,3,false,,
124,false,,,false,,
125,false,,,false,,
126,true,4,2,true,3,1
127,false,,,false,,
128,false,,,false,,
129,true,2,1,false,,
130,false,,,false,,
131,false,,,false,,
132,true,4,2,true,2,2
133,false,,,false,,
134,false,,,false,,
135,true,3,1,false,,
136,false,,,false,,
137,false,,,false,,
138,true,3,1,true,4,1
139,false,,,false,,
140,false,,,false,,
141,true,1,1,false,,
142,false,,,false,,
143,false,,,false,,
144,true,1,2,true,1,2
145,false,,,false,,
146,false,,,false,,
147,true,3,3,false,,
148,false,,,false,,
149,false,,,false,,
150,true,3,2,true,2,1
151,false,,,false,,
152,false,,,false,,
153,true,2,1,false,,
154,false,,,false,,
155,false,,,false,,
156,true,2,3,true,1,2
157,false,,,false,,
158,false,,,false,,
159,true,2,3,false,,
160,false,,,false,,
161,false,,,false,,
162,true,2,3,true,1,2
163,false,,,false,,
164,false,,,false,,
165,true,1,1,false,,
166,false,,,false,,
167,false,,,false,,
168,true,4,1,true,2,1
169,false,,,false,,
170,false,,,false,,
171,true,2,3,false,,
172,false,,,false,,
173,false,,,false,,
174,true,3,1,true,3,2
175,false,,,false,,
176,false,,,false,,
177,true,4,2,false,,
178,false,,,false,,
179,false,,,false,,
180,true,2,2,true,4,2
181,false,,,false,,
182,false,,,false,,
183,true,3,2,false,,
184,false,,,false,,
185,false,,,false,,
186,true,4,1,true,3,1
187,false,,,false,,
188,false,,,false,,
189,true,2,3,false,,
190,false,,,false,,
191,false,,,false,,
192,true,4,2,true,3,2
