Beat_timing,Generate_A_type,A_generate_side,A_generate_amount,Generate_B_type,B_generate_side,B_generate_amount
0,true,4,2,true,1,1
1,false,,,false,,
2,false,,,false,,
3,false,,,false,,
4,false,,,false,,
5,false,,,false,,
6,false,,,false,,
7,false,,,false,,
8,false,,,false,,
9,false,,,false,,
10,false,,,false,,
11,false,,,false,,
12,true,4,1,false,,
13,false,,,false,,
14,false,,,false,,
15,false,,,false,,
16,false,,,false,,
17,false,,,false,,
18,false,,,false,,
19,false,,,false,,
20,false,,,false,,
21,false,,,false,,
22,false,,,false,,
23,false,,,false,,
24,true,2,1,false,,
25,false,,,true,4,1
26,false,,,false,,
27,false,,,false,,
28,false,,,false,,
29,false,,,false,,
30,false,,,false,,
31,false,,,false,,
32,false,,,false,,
33,false,,,false,,
34,false,,,false,,
35,false,,,false,,
36,true,3,2,false,,
37,false,,,false,,
38,false,,,false,,
39,false,,,false,,
40,false,,,false,,
41,false,,,false,,
42,false,,,false,,
43,false,,,false,,
44,false,,,false,,
45,false,,,false,,
46,false,,,false,,
47,false,,,false,,
48,true,2,1,false,,
49,false,,,false,,
50,false,,,true,4,1
51,false,,,false,,
52,false,,,false,,
53,false,,,false,,
54,false,,,false,,
55,false,,,false,,
56,false,,,false,,
57,false,,,false,,
58,false,,,false,,
59,false,,,false,,
60,true,2,1,false,,
61,false,,,false,,
62,false,,,false,,
63,false,,,false,,
64,false,,,false,,
65,false,,,false,,
66,false,,,false,,
67,false,,,false,,
68,false,,,false,,
69,false,,,false,,
70,false,,,false,,
71,false,,,false,,
72,true,1,2,false,,
73,false,,,false,,
74,false,,,false,,
75,false,,,true,3,2
76,false,,,false,,
77,false,,,false,,
78,false,,,false,,
79,false,,,false,,
80,false,,,false,,
81,false,,,false,,
82,false,,,false,,
83,false,,,false,,
84,true,1,1,false,,
85,false,,,false,,
86,false,,,false,,
87,false,,,false,,
88,false,,,false,,
89,false,,,false,,
90,false,,,false,,
91,false,,,false,,
92,false,,,false,,
93,false,,,false,,
94,false,,,false,,
95,false,,,false,,
96,true,2,3,false,,
97,false,,,false,,
98,false,,,false,,
99,false,,,false,,
100,false,,,true,3,2
101,false,,,false,,
102,false,,,false,,
103,false,,,false,,
104,false,,,false,,
105,false,,,false,,
106,false,,,false,,
107,false,,,false,,
108,true,4,3,false,,
109,false,,,false,,
110,false,,,false,,
111,false,,,false,,
112,false,,,false,,
113,false,,,false,,
114,false,,,false,,
115,false,,,false,,
116,false,,,false,,
117,false,,,false,,
118,false,,,false,,
119,false,,,false,,
120,true,4,3,false,,
121,false,,,false,,
122,false,,,false,,
123,false,,,false,,
124,false,,,false,,
125,false,,,true,1,1
126,false,,,false,,
127,false,,,false,,
128,false,,,false,,
129,false,,,false,,
130,false,,,false,,
131,false,,,false,,
132,true,3,2,false,,
133,false,,,false,,
134,false,,,false,,
135,false,,,false,,
136,false,,,false,,
137,false,,,false,,
138,false,,,false,,
139,false,,,false,,
140,false,,,false,,
141,false,,,false,,
142,false,,,false,,
143,false,,,false,,
144,true,4,1,false,,
145,false,,,false,,
146,false,,,false,,
147,false,,,false,,
148,false,,,false,,
149,false,,,false,,
150,false,,,true,2,2
151,false,,,false,,
152,false,,,false,,
153,false,,,false,,
154,false,,,false,,
155,false,,,false,,
156,true,3,1,false,,
157,false,,,false,,
158,false,,,false,,
159,false,,,false,,
160,false,,,false,,
161,false,,,false,,
162,false,,,false,,
163,false,,,false,,
164,false,,,false,,
165,false,,,false,,
166,false,,,false,,
167,false,,,false,,
168,true,3,3,false,,
169,false,,,false,,
170,false,,,false,,
171,false,,,false,,
172,false,,,false,,
173,false,,,false,,
174,false,,,false,,
175,false,,,true,2,2
176,false,,,false,,
177,false,,,false,,
178,false,,,false,,
179,false,,,false,,
180,true,1,3,false,,
181,false,,,false,,
182,false,,,false,,
183,false,,,false,,
184,false,,,false,,
185,false,,,false,,
186,false,,,false,,
187,false,,,false,,
188,false,,,false,,
189,false,,,false,,
190,false,,,false,,
191,false,,,false,,
192,true,4,3,false,,
193,false,,,false,,
194,false,,,false,,
195,false,,,false,,
196,false,,,false,,
197,false,,,false,,
198,false,,,false,,
199,false,,,false,,
200,false,,,true,3,2
201,false,,,false,,
202,false,,,false,,
203,false,,,false,,
204,true,1,3,false,,
205,false,,,false,,
206,false,,,false,,
207,false,,,false,,
208,false,,,false,,
209,false,,,false,,
210,false,,,false,,
211,false,,,false,,
212,false,,,false,,
213,false,,,false,,
214,false,,,false,,
215,false,,,false,,
216,true,3,1,false,,
217,false,,,false,,
218,false,,,false,,
219,false,,,false,,
220,false,,,false,,
221,false,,,false,,
222,false,,,false,,
223,false,,,false,,
224,false,,,false,,
225,false,,,true,4,1
226,false,,,false,,
227,false,,,false,,
228,true,4,1,false,,
229,false,,,false,,
230,false,,,false,,
231,false,,,false,,
232,false,,,false,,
233,false,,,false,,
234,false,,,false,,
235,false,,,false,,
236,false,,,false,,
237,false,,,false,,
238,false,,,false,,
239,false,,,false,,
240,true,4,2,false,,
241,false,,,false,,
242,false,,,false,,
243,false,,,false,,
244,false,,,false,,
245,false,,,false,,
246,false,,,false,,
247,false,,,false,,
248,false,,,false,,
249,false,,,false,,
250,false,,,true,1,1
251,false,,,false,,
252,true,1,2,false,,
253,false,,,false,,
254,false,,,false,,
255,false,,,false,,
256,false,,,false,,
257,false,,,false,,
258,false,,,false,,
259,false,,,false,,
260,false,,,false,,
261,false,,,false,,
262,false,,,false,,
263,false,,,false,,
264,true,1,3,false,,
265,false,,,false,,
266,false,,,false,,
267,false,,,false,,
268,false,,,false,,
269,false,,,false,,
270,false,,,false,,
271,false,,,false,,
272,false,,,false,,
273,false,,,false,,
274,false,,,false,,
275,false,,,true,3,1
276,true,2,3,false,,
277,false,,,false,,
278,false,,,false,,
279,false,,,false,,
280,false,,,false,,
281,false,,,false,,
282,false,,,false,,
283,false,,,false,,
284,false,,,false,,
285,false,,,false,,
286,false,,,false,,
287,false,,,false,,
288,true,2,1,false,,
289,false,,,false,,
290,false,,,false,,
291,false,,,false,,
292,false,,,false,,
293,false,,,false,,
294,false,,,false,,
295,false,,,false,,
296,false,,,false,,
297,false,,,false,,
298,false,,,false,,
299,false,,,false,,
300,true,1,3,true,1,2
301,false,,,false,,
302,false,,,false,,
303,false,,,false,,
304,false,,,false,,
305,false,,,false,,
306,false,,,false,,
307,false,,,false,,
308,false,,,false,,
309,false,,,false,,
310,false,,,false,,
311,false,,,false,,
312,true,4,1,false,,
313,false,,,false,,
314,false,,,false,,
315,false,,,false,,
316,false,,,false,,
317,false,,,false,,
318,false,,,false,,
319,false,,,false,,
320,false,,,false,,
321,false,,,false,,
322,false,,,false,,
323,false,,,false,,
324,true,2,3,false,,
325,false,,,true,1,2
326,false,,,false,,
327,false,,,false,,
328,false,,,false,,
329,false,,,false,,
330,false,,,false,,
331,false,,,false,,
332,false,,,false,,
333,false,,,false,,
334,false,,,false,,
335,false,,,false,,
336,true,4,2,false,,
337,false,,,false,,
338,false,,,false,,
339,false,,,false,,
340,false,,,false,,
341,false,,,false,,
342,false,,,false,,
343,false,,,false,,
