beat_timing,generate_A_type,A_generate_side,A_generate_amount,generate_B_type,B_generate_side,B_generate_amount,,,,,,,
0 ,false,,,false,,,,,,,,,
1 ,TRUE,1,1,false,,,,,,,,,
2 ,TRUE,2,1,false,,,,,,,,,
3 ,TRUE,3,1,false,,,,,,,,,
4 ,TRUE,4,1,false,,,,,,,,,
5 ,TRUE,1,1,false,,,,,,,,,
6 ,TRUE,2,1,false,,,,,,,,,
7 ,TRUE,3,1,false,,,,,,,,,
8 ,TRUE,4,1,false,,,,,,,,,
9 ,TRUE,1,1,false,,,,,,,,,
10 ,TRUE,2,1,false,,,,,,,,,
11 ,TRUE,3,1,false,,,,,,,,,
12 ,TRUE,4,1,false,,,,,,,,,
13 ,TRUE,1,1,false,,,,,,,,,
14 ,TRUE,2,1,false,,,,,,,,,
15 ,TRUE,3,1,false,,,,,,,,,
16 ,TRUE,4,1,false,,,,,,,,,
17 ,TRUE,1,1,false,,,,,,,,,
18 ,TRUE,2,1,false,,,,,,,,,
19 ,TRUE,3,1,false,,,,,,,,,
20 ,TRUE,4,1,TRUE,1,1,,,,,,,
21 ,TRUE,1,1,false,,,,,,,,,
22 ,TRUE,2,1,false,,,,,,,,,
23 ,TRUE,3,1,false,,,,,,,,,
24 ,TRUE,4,1,TRUE,2,1,,,,,,,
25 ,TRUE,1,1,false,,,,,,,,,
26 ,TRUE,2,1,false,,,,,,,,,
27 ,TRUE,3,1,false,,,,,,,,,
28 ,TRUE,4,1,TRUE,3,1,,,,,,,
29 ,TRUE,1,1,false,,,,,,,,,
30 ,TRUE,2,1,false,,,,,,,,,
31 ,TRUE,3,1,false,,,,,,,,,
32 ,TRUE,4,1,TRUE,4,1,,,,,,,
33 ,TRUE,1,1,false,,,,,,,,,
34 ,TRUE,2,1,false,,,,,,,,,
35 ,TRUE,3,1,false,,,,,,,,,
36 ,TRUE,4,1,TRUE,14,1,,,,,,,
37 ,TRUE,1,1,false,,,,,,,,,
38 ,TRUE,2,1,false,,,,,,,,,
39 ,TRUE,3,1,false,,,,,,,,,
40 ,TRUE,4,1,TRUE,23,1,,,,,,,
41 ,TRUE,1,1,false,,,,,,,,,
42 ,TRUE,2,1,false,,,,,,,,,
43 ,TRUE,3,1,false,,,,,,,,,
44 ,TRUE,4,1,false,,,,,,,,,
45 ,TRUE,1,1,false,,,,,,,,,
46 ,TRUE,2,1,false,,,,,,,,,
47 ,TRUE,3,1,false,,,,,,,,,
48 ,TRUE,4,1,false,,,,,,,,,
49 ,TRUE,1,1,false,,,,,,,,,
50 ,TRUE,2,1,TRUE,1,1,,,,,,,
51 ,TRUE,3,1,TRUE,2,1,,,,,,,
52 ,TRUE,4,1,TRUE,3,1,,,,,,,
53 ,TRUE,1,1,TRUE,4,1,,,,,,,
54 ,TRUE,2,1,false,,,,,,,,,
55 ,TRUE,3,1,false,,,,,,,,,
56 ,TRUE,4,1,false,,,,,,,,,
57 ,TRUE,1,1,false,,,,,,,,,
58 ,TRUE,2,1,TRUE,1,1,,,,,,,
59 ,TRUE,3,1,TRUE,2,1,,,,,,,
60 ,TRUE,4,1,TRUE,3,1,,,,,,,
61 ,TRUE,1,1,TRUE,4,1,,,,,,,
62 ,TRUE,2,1,false,,,,,,,,,
63 ,TRUE,3,1,false,,,,,,,,,
64 ,TRUE,4,1,false,,,,,,,,,
65 ,false,,,false,,,,,,,,,
66 ,false,,,TRUE,1,1,,,,,,,
67 ,false,,,TRUE,2,1,,,,,,,
68 ,false,,,TRUE,3,1,,,,,,,
69 ,false,,,TRUE,4,1,,,,,,,
70 ,false,,,false,,,,,,,,,
71 ,false,,,false,,,,,,,,,
72 ,false,,,false,,,,,,,,,
73 ,false,,,false,,,,,,,,,
74 ,false,,,TRUE,1,1,,,,,,,
75 ,false,,,TRUE,2,1,,,,,,,
76 ,false,,,TRUE,3,1,,,,,,,
77 ,false,,,TRUE,4,1,,,,,,,
78 ,false,,,false,,,,,,,,,
79 ,false,,,false,,,,,,,,,
80 ,false,,,false,,,,,,,,,
81 ,false,,,false,,,,,,,,,
82 ,TRUE,1234,1,TRUE,1,1,,,,,,,
83 ,false,,,TRUE,2,1,,,,,,,
84 ,false,,,TRUE,3,1,,,,,,,
85 ,false,,,TRUE,4,1,,,,,,,
86 ,false,,,false,,,,,,,,,
87 ,false,,,false,,,,,,,,,
88 ,false,,,false,,,,,,,,,
89 ,false,,,false,,,,,,,,,
90 ,false,,,TRUE,1,1,,,,,,,
91 ,false,,,TRUE,2,1,,,,,,,
