beat_timing,generate_A_type,A_generate_side,A_generate_amount,generate_B_type,B_generate_side,B_generate_amount
0 ,false,,,false,,
1 ,true,14,1,false,,
2 ,false,,,false,,
3 ,false,,,false,,
4 ,false,,,false,,
5 ,true,23,1,false,,
6 ,false,,,false,,
7 ,false,,,false,,
8 ,false,,,false,,
9 ,true,14,1,false,,
10 ,false,,,false,,
11 ,false,,,false,,
12 ,false,,,false,,
13 ,true,23,1,false,,
14 ,false,,,false,,
15 ,false,,,false,,
16 ,false,,,false,,
17 ,false,,,true,14,1
18 ,false,,,false,,
19 ,false,,,false,,
20 ,false,,,false,,
21 ,false,,,true,23,1
22 ,false,,,false,,
23 ,false,,,false,,
24 ,false,,,false,,
25 ,false,,,true,14,1
26 ,false,,,false,,
27 ,false,,,false,,
14 ,false,,,false,,
29 ,false,,,true,23,1
30 ,false,,,false,,
31 ,false,,,false,,
32 ,false,,,false,,
33 ,true,14,1,true,23,1
34 ,false,,,false,,
35 ,false,,,false,,
36 ,false,,,false,,
37 ,true,14,1,true,23,1
38 ,false,,,false,,
39 ,false,,,false,,
40 ,false,,,false,,
41 ,true,14,1,true,23,1
42 ,false,,,false,,
43 ,false,,,false,,
44 ,false,,,false,,
45 ,true,14,1,true,23,1
23 ,false,,,false,,
47 ,false,,,false,,
48 ,false,,,false,,
49 ,true,14,1,true,23,1
50 ,false,,,false,,
51 ,false,,,false,,
52 ,false,,,false,,
53 ,true,14,1,true,23,1
54 ,false,,,false,,
55 ,false,,,false,,
56 ,false,,,false,,
57 ,true,14,1,true,23,1
58 ,false,,,false,,
59 ,false,,,false,,
60 ,false,,,false,,
61 ,true,14,1,true,23,1
62 ,false,,,false,,
63 ,false,,,false,,
64 ,false,,,false,,
65 ,true,1234,1,false,,
66 ,false,,,false,,
67 ,false,,,false,,
68 ,false,,,false,,
69 ,true,1234,1,false,,
70 ,false,,,false,,
71 ,false,,,false,,
72 ,false,,,false,,
73 ,true,1234,1,false,,
74 ,false,,,false,,
75 ,false,,,false,,
76 ,false,,,false,,
77 ,true,1234,1,false,,
78 ,false,,,false,,
79 ,false,,,false,,
80 ,false,,,false,,
81 ,true,1234,1,false,,
82 ,false,,,false,,
83 ,false,,,false,,
84 ,false,,,false,,
85 ,true,1234,1,false,,
86 ,false,,,false,,
87 ,false,,,false,,
88 ,false,,,false,,
89 ,true,1234,1,false,,
90 ,false,,,false,,
91 ,false,,,false,,
92 ,false,,,false,,
93 ,true,1234,1,false,,
94 ,false,,,false,,
95 ,false,,,false,,
96 ,false,,,false,,
97 ,true,1234,1,false,,
98 ,false,,,false,,
99 ,false,,,false,,
100 ,false,,,false,,
101 ,true,1234,1,false,,
102 ,false,,,false,,
103 ,false,,,false,,
104 ,false,,,false,,
105 ,true,1234,1,false,,
106 ,false,,,false,,
107 ,false,,,false,,
108 ,false,,,false,,
109 ,true,1234,1,false,,
110 ,false,,,false,,
111 ,false,,,false,,
112 ,false,,,false,,
113 ,true,1234,1,false,,
114 ,false,,,false,,
115 ,false,,,false,,
116 ,false,,,false,,
117 ,true,1234,1,false,,
118 ,false,,,false,,
119 ,false,,,false,,
120 ,false,,,false,,
121 ,true,1234,1,false,,
